id,image_path,countries,name,year,size,location,country,services,sectors,products,applications,completion,description
1,projects/vivo-city,SG,Vivo City,2023,"25,000 m2",Vivo city,Singapore,Exterior ,Commercial,dassoCTECH,Decking,,
2,projects/vivo-city,MY,Vivo City,2023,"25,000 m2",Vivo city,Singapore,Exterior ,Commercial,Bamboo,Decking,Completed,"Situated at Vivo city singapore, dassoCtech is used for the decking."
3,projects/dyson-head-quarters,"SG,MY",Dyson Head Quarters,2022,,James Power Station,Singapore,Interior ,Commercial,Kandinsky,"Stairs, Flooring",Completed,"The Dyson @ St James Power Station features a stunning classic wood flooring in Zerno color. The natural beauty and durability of the wood make it a perfect choice for a busy commercial space, while its warm and inviting tones create a welcoming and comfortable environment for customers and employees alike."
4,projects/kandinsky-outlet,"SG,MY",KANDINSKY Outlet,2023,,Marina Square,Singapore,Interior ,Commercial,Kandinsky,"Flooring, Wall and Ceiling",Completed,"The first-ever showroom made entirely of flooring materials, from the walls to the tables. We’re thrilled to announce the grand opening of KANDINSKY, our premium timber showroom at Marina Square #03-207!"
5,projects/duxton-hill,"SG,MY",Duxton Hill,2023,,Duxton Hill,Singapore,Interior ,Residential,Kandinsky,Flooring,Completed,Solid Douglas fir flooring extends from the pantry to the interior and features prominently in a dedicated room at Duxton Hill
6,projects/soleil,"SG,MY",Soleil,2023,,Soleil,Singapore,Interior ,Residential,Kandinsky,"Flooring, Stairs, Platform",Completed,Raised Tatami Platform. Design of contrast with raised height platform in a lighter colour to define the different use of spaces yet in an open concept manner. This give a zen looking feel combined with minimalism.
7,projects/nassim,"SG,MY",Nassim,2022,,Nassim,Singapore,"Interior, Exterior",Residential,"Wood and Timber, Calvary Composite","Timber Box ceiling,  Calvary Composite",Completed,"A two-storey bungalow with an attic and a swimming pool on elevated land at Nassim Road boasts a floor-to-ceiling height of 12 meters in the living room. The living room features a large timber veneer box ceiling that stretches across its expanse. Additionally, the ground floor balcony and the rooftop decking on the attic is decked with Calvary Composite."
8,projects/pa-studio,"SG,MY",P+A Office,2023,,P+A Office,Singapore,Interior ,Commercial,Accoya,Timber ceiling,Completed,The ceiling of the Park and Associates office is adorned with a beautiful timber ceiling that spans the entire space.
9,projects/bibidari,"SG,MY",Bidadari,2023,,Bidadari,Singapore,Interior ,Residential,Kandinsky,Flooring,Completed,Beautiful large knot larch flooring was installed in a residential property in Bidadari.
10,projects/margoliouth,"SG,MY",Margoliouth,2023,,Margoliouth Road,Singapore ,"Interior, Exterior, Maintance",Residential,"Kandinsky, Wood and Timber","Flooring, Stairs, Decking",Completed,"ABCD grade Chrobry flooring was used across all three floors of Margoliouth, including the Mezzanine, providing a vantage point to view the top floor from above. CHROBY flooring seamlessly extends from the first floor to the third, ensuring a smooth transition throughout. Additionally, the owner's decking from their previous home was repurposed for installation in their new residence."
